name,skin_pos,skin_neg,pos_percent,neg_percent
닥터자르트 컨트롤에이 티트리먼트 토너 120ml (티트리 약산성 토너),54.0,48,0.5294117647058824,0.47058823529411764
닥터지 더모이스처 배리어 D 리퀴드 토너세트(200ml+30ml),64.0,42,0.6037735849056604,0.39622641509433965
닥터지 레드 블레미쉬 포 맨 멀티 수딩 토너 200ml 보습기획세트 (+올인원크림 30ml),12.0,6,0.6666666666666666,0.3333333333333333
닥터지 에이클리어 밸런싱 토너 200ml 기획 (+화장솜),18.0,18,0.5,0.5
더마펌 울트라 수딩 토너 R4 200ml (수분진정),86.0,42,0.671875,0.328125
더바디샵 티트리 오일 10ml,46.0,12,0.7931034482758621,0.20689655172413793
더바디샵 티트리 오일 20ml,52.0,72,0.41935483870967744,0.5806451612903226
데이퍼센트 밀키 모이스쳐 젤리 스킨 210ml,28.0,6,0.8235294117647058,0.17647058823529413
디오디너리 글리코릭 애시드 7% 토닝 솔루션 240ml,141.0,73,0.6588785046728972,0.3411214953271028
땡큐파머 강화교동쌀 맑음 에센셜토너 200ml,75.0,42,0.6410256410256411,0.358974358974359
라끄베르 옴므리차지 애프터쉐이브 185ml,51.0,30,0.6296296296296297,0.37037037037037035
라로슈포제 똘러리앙 울트라 로션 200ML,66.0,18,0.7857142857142857,0.21428571428571427
라로슈포제 똘러리앙 울트라 로션 400ML,24.0,18,0.5714285714285714,0.42857142857142855
라로슈포제 에빠끌라 H 토너 200ml (복합성/건성 피부),44.0,36,0.55,0.45
라운드랩 1025 독도 토너 (본품200ml+50ml 추가 증정),66.0,18,0.7857142857142857,0.21428571428571427
라운드랩 자작나무 수분 토너 1+1 기획 (300ml+300ml),36.0,42,0.46153846153846156,0.5384615384615384
라운드랩 자작나무 수분 토너 300ml,74.0,24,0.7551020408163265,0.24489795918367346
라운드랩 포 맨 자작나무 수분 토너 200ml,72.0,18,0.8,0.2
랩시리즈 데일리 레스큐 워터 로션 200ml 기획세트 (30ml*3 증정),87.0,36,0.7073170731707317,0.2926829268292683
로벡틴 시카케어 퓨리파잉 토너 260ml,142.0,73,0.6604651162790698,0.3395348837209302
리얼베리어 익스트림 에센스 토너 300ml,28.0,18,0.6086956521739131,0.391304347826087
리얼베리어 인텐스 모이스처 토너 300ml,27.0,12,0.6923076923076923,0.3076923076923077
마녀공장 갈락 클리어스킨 투명광채 토너 210ml,162.0,73,0.6893617021276596,0.31063829787234043
